Water_type	QEtype	QualityElement	QualitySubelement	Indicator	Parameter	Measurement	IndicatorDescription	Nutrient loading	Organic loading	Acidification	Harmful substances	Hydrological changes	Morphological changes	General pressure	Nutrients
Coastal	Biological	Phytoplankton	Phytoplankton biomass	CoastChla	chla	Chlorophyll a	Chlorophyll a								X
Coastal	Biological	Phytoplankton	Phytoplankton biomass	CoastChlaEQR	chla	Chlorophyll a	Chlorophyll a (EQR)	X							
Coastal	Biological	Phytoplankton	Phytoplankton biomass	CoastBiovol	biovol	Phytoplankton biovolume	Phytoplankton biovolume								X
Coastal	Biological	Phytoplankton	Phytoplankton biomass	CoastBiovolEQR	biovol	Phytoplankton biovolume	Phytoplankton biovolume (EQR)	X							
Coastal	Biological	Benthic fauna	Composition and diversity	CoastBQI	BQI	BQI	Benthic Quality Index (BQI)	X	X						X
Coastal	Biological	Benthic vegetation	Composition and abundance	CoastMSMDI	MSMDI	MSMDI	Multi-Species Maximum Depth Index (MSMDI)	X							X
Coastal	Supporting	Water transparency	Secchi depth	CoastSecchi	secchi	Secchi depth	Secchi Depth		X						X
Coastal	Supporting	Water transparency	Secchi depth	CoastSecchiEQR	secchi	Secchi depth	Secchi Depth (EQR)	X	X						
Coastal	Supporting	Nutrients	Nitrogen	CoastDINwinter	DIN	Dissolved inorganic Nitrogen	Winter DIN conc.								X
Coastal	Supporting	Nutrients	Nitrogen	CoastDINwinterEQR	DIN	Dissolved inorganic Nitrogen	Winter DIN conc. (EQR)	X							
Coastal	Supporting	Nutrients	Nitrogen	CoastTNsummer	TN	Total Nitrogen	Summer TN conc.								X
Coastal	Supporting	Nutrients	Nitrogen	CoastTNsummerEQR	TN	Total Nitrogen	Summer TN conc. (EQR)	X							
Coastal	Supporting	Nutrients	Nitrogen	CoastTNwinter	TN	Total Nitrogen	Winter TN conc.								X
Coastal	Supporting	Nutrients	Nitrogen	CoastTNwinterEQR	TN	Total Nitrogen	Winter TN conc. (EQR)	X							
Coastal	Supporting	Nutrients	Phosphorus	CoastDIPwinter	DIP	Dissolved inorganic Phosphorus	Winter DIP conc.								X
Coastal	Supporting	Nutrients	Phosphorus	CoastDIPwinterEQR	DIP	Dissolved inorganic Phosphorus	Winter DIP conc. (EQR)	X							
Coastal	Supporting	Nutrients	Phosphorus	CoastTPsummer	TP	Total Phosphorus	Summer TP conc.								X
Coastal	Supporting	Nutrients	Phosphorus	CoastTPsummerEQR	TP	Total Phosphorus	Summer TP conc. (EQR)	X							
Coastal	Supporting	Nutrients	Phosphorus	CoastTPwinter	TP	Total Phosphorus	Winter TP conc.								X
Coastal	Supporting	Nutrients	Phosphorus	CoastTPwinterEQR	TP	Total Phosphorus	Winter TP conc. (EQR)	X							
Coastal	Supporting	Oxygen	Oxygen	CoastOxygen	O2	Oxygen	Oxygen Concentration	X	X					X	X
Lakes	Biological	Phytoplankton	Phytoplankton biomass	LakeBiovol		Phytoplankton biovolume		X							X
Lakes	Biological	Phytoplankton	Phytoplankton biomass	LakeBiovolEQR		Phytoplankton biovolume		X							X
Lakes	Biological	Phytoplankton	Phytoplankton composition	LakePctCyano		Proportion cyanobacteria		X							X
Lakes	Biological	Phytoplankton	Phytoplankton composition	LakePctCyanoEQR		Proportion cyanobacteria		X							X
